Band,a,b,c,σdist[%],N gal,Type of fit,Authors
r,1.24 ± 0.07,−0.82 ± 0.02,−,17,226,orthogonal R,Jorgensen et al. (1996)
r,1.42 ± 0.05,−0.76 ± 0.008,−,28,1430,orthogonal R,La Barbera et al. (2008)
g,1.40 ± 0.02,−0.76 ± 0.02,−8.858,31,46410,orthogonal R,Hyde & Bernardi (2009)
r,1.43 ± 0.02,−0.79 ± 0.02,−8.898,30,46410,orthogonal R,Hyde & Bernardi (2009)
i,1.46 ± 0.02,−0.80 ± 0.02,−8.891,29,46410,orthogonal R,Hyde & Bernardi (2009)
z,1.47 ± 0.02,−0.83 ± 0.02,−9.032,29,46410,orthogonal R,Hyde & Bernardi (2009)
g,1.38 ± 0.02,−0.788 ± 0.002,−9.13 ± 0.08,29,4467,orthogonal R,La Barbera et al. (2010a)
r,1.39 ± 0.02,−0.785 ± 0.002,−8.84 ± 0.06,26,4478,orthogonal R,La Barbera et al. (2010a)
i,1.43 ± 0.02,−0.780 ± 0.002,−8.76 ± 0.05,−,4455,orthogonal R,La Barbera et al. (2010a)
z,1.42 ± 0.02,−0.793 ± 0.002,−8.74 ± 0.07,−,4319,orthogonal R,La Barbera et al. (2010a)
g,1.45 ± 0.06,−0.74 ± 0.01,−8.779 ± 0.029,25,5825,orthogonal ML,Bernardi et al. (2003c)
r,1.49 ± 0.05,−0.75 ± 0.01,−8.778 ± 0.020,23,8228,orthogonal ML,Bernardi et al. (2003c)
i,1.52 ± 0.04,−0.78 ± 0.01,−8.895 ± 0.021,23,8022,orthogonal ML,Bernardi et al. (2003c)
z,1.51 ± 0.04,−0.77 ± 0.01,−8.707 ± 0.023,22,7914,orthogonal ML,Bernardi et al. (2003c)
g,1.08 ± 0.05,−0.74 ± 0.01,−8.033 ± 0.024,−,5825,direct ML,Bernardi et al. (2003c)
r,1.17 ± 0.04,−0.75 ± 0.01,−8.022 ± 0.020,−,8228,direct ML,Bernardi et al. (2003c)
i,1.21 ± 0.04,−0.77 ± 0.01,−8.164 ± 0.019,−,8022,direct ML,Bernardi et al. (2003c)
z,1.20 ± 0.04,−0.76 ± 0.01,−7.995 ± 0.021,−,7914,direct ML,Bernardi et al. (2003c)
g,1.12 ± 0.02,−0.74 ± 0.02,−8.046,−,46410,direct R,Hyde & Bernardi (2009)
r,1.17 ± 0.02,−0.76 ± 0.02,−8.086,−,46410,direct R,Hyde & Bernardi (2009)
i,1.20 ± 0.02,−0.76 ± 0.02,−8.048,−,46410,direct R,Hyde & Bernardi (2009)
z,1.23 ± 0.02,−0.78 ± 0.02,−8.216,−,46410,direct R,Hyde & Bernardi (2009)
u,0.798 ± 0.030,−0.700 ± 0.008,−7.53 ± 0.10,16.5,92953,direct R,Saulder et al. (2013)
g,0.966 ± ± 0.030,−0.740 ± 0.013,−7.75 ± 0.13,15.6,92953,direct R,Saulder et al. (2013)
r,1.034 ± 0.030,−0.753 ± 0.013,−7.77 ± 0.13,15.3,92953,direct R,Saulder et al. (2013)
i,1.062 ± 0.030,−0.757 ± 0.013,−7.75 ± 0.13,15,92953,direct R,Saulder et al. (2013)
z,1.108 ± 0.030,−0.763 ± 0.013,−7.81 ± 0.13,14.8,92953,direct R,Saulder et al. (2013)
