# NAME RA DEC DISTANCE K_APP A_V K_ABS SIGMA
   NGC0057    3.8787   17.3284   76.300    8.66    0.212  -25.754  325.950
   NGC0071    4.5982   30.0632   97.716    9.53    0.151  -25.424 -999.000
   NGC0080    5.2952   22.3572   81.864    8.90    0.168  -25.661  259.730
   NGC0128    7.3127    2.8640   59.300    8.51    0.079  -25.352  221.670
   NGC0227   10.6535   -1.5288   75.857    9.08    0.084  -25.318  260.890
   NGC0315   14.4538   30.3524   70.268    7.94    0.177  -26.298  270.140
   NGC0383   16.8540   32.4126   71.311    8.46    0.194  -25.805 -999.000
   NGC0393   17.1540   39.6443   85.700    9.22    0.120  -25.445  232.810
   NGC0410   17.7453   33.1520   71.311    8.36    0.161  -25.903  299.660
   NGC0467   19.7922    3.3008   75.800    9.00    0.092  -25.395  246.790
 PGC004829   20.1287   50.1445   99.000    9.67    0.554  -25.304 -999.000
   NGC0499   20.7978   33.4601   69.757    8.71    0.193  -25.503  266.140
   NGC0507   20.9164   33.2561   69.757    8.28    0.170  -25.934  304.900
   NGC0533   21.3808    1.7590   77.912    8.41    0.084  -26.046  278.760
   NGC0665   26.2337   10.4230   74.575    8.85    0.242  -25.513  189.550
  UGC01332   28.0755   48.0878   99.249    9.42    0.557  -25.565 -999.000
   NGC0708   28.1936   36.1518   68.954    8.55    0.247  -25.645  229.810
  UGC01389   28.8778   47.9550   99.249    9.57    0.519  -25.412 -999.000
   NGC0741   29.0874    5.6289   73.897    8.28    0.144  -26.064  290.810
   NGC0777   30.0622   31.4294   72.228    8.35    0.128  -25.940  324.130
   NGC0890   35.5042   33.2661   55.600    8.22    0.212  -25.502  213.130
   NGC0997   39.3103    7.3056   90.447    9.38    0.380  -25.404 -999.000
   NGC1016   39.5815    2.1193   95.171    8.57    0.085  -26.326  301.750
   NGC1060   40.8127   32.4250   67.421    8.14    0.532  -26.000  303.100
   NGC1132   43.2159   -1.2747   97.601    9.24    0.176  -25.704  245.980
   NGC1129   43.6141   41.5796   73.949    8.21    0.309  -26.137  329.510
   NGC1167   45.4265   35.2056   70.236    8.59    0.496  -25.644  220.000
   NGC1226   47.7723   35.3868   85.692    9.16    0.526  -25.508  271.230
   NGC1272   49.8387   41.4906   77.536    8.64    0.441  -25.803  292.350
  UGC02783   53.5766   39.3568   85.817    9.22    0.447  -25.443  299.230
   NGC1453   56.6136   -3.9688   56.356    8.09    0.289  -25.666  331.890
   NGC1497   60.5283   23.1329   87.800    9.41    0.602  -25.306  248.890
   NGC1600   67.9161   -5.0861   63.771    8.03    0.118  -25.994  334.880
   NGC1573   68.7666   73.2624   65.033    8.51    0.377  -25.551  304.850
   NGC1671   72.3918    0.2528   88.600    9.44    0.215  -25.295  215.930
