# NGC_name ra       dec    
  NGC4073  181.113  1.896  
  NGC5353  208.361  40.2831
  NGC5208  203.116  7.3166 
  NGC2892  143.221  67.6174
  NGC2918  143.933  31.7054
  NGC4555  188.922  26.523 
  NGC4839  194.352  27.4977
  NGC4874  194.899  27.9594
  NGC4889  195.034  27.977 
  NGC3615  169.528  23.3973
  NGC3805  175.174  20.343 
  NGC3862  176.271  19.6063
  NGC3842  176.009  19.9498
  NGC3937  178.178  20.6313
  NGC4065  181.026  20.2351
  NGC4059  181.047  20.4098
  NGC4213  183.906  23.9819
  NGC0057  3.8787   17.3284
  NGC0071  4.5982   30.0632
  NGC0080  5.2952   22.3572
  NGC0128  7.3127   2.864  
  NGC0227  10.6535  -1.5288
  NGC0315  14.4538  30.3524
  NGC0383  16.854   32.4126
  NGC0410  17.7453  33.152 
  NGC0467  19.7922  3.3008 
  NGC0507  20.9164  33.2561
  NGC0533  21.3808  1.759  
  NGC0665  26.2337  10.423 
  NGC0741  29.0874  5.6289 
  NGC0997  39.3103  7.3056 
  NGC1016  39.5815  2.1193 
  NGC1132  43.2159  -1.2747
  NGC1129  43.6141  41.5796
  NGC1167  45.4265  35.2056
  NGC1272  49.8387  41.4906
  UGC02783 53.5766  39.3568
  UGC03894 113.27   65.0791
  NGC2418  114.156  17.8839
  NGC2513  120.603  9.4136 
  NGC2672  132.341  19.075 
  NGC2693  134.247  51.3474
  NGC2783  138.415  29.9928
  NGC2832  139.945  33.7498
  NGC3209  155.16   25.505 
  NGC3462  163.838  7.6968 
  NGC4486  187.706  12.3911
  NGC4649  190.917  11.5526
  NGC4816  194.051  27.7455
  NGC4914  195.179  37.3153
  NGC5322  207.313  60.1904
  NGC5329  208.042  2.3251 
  NGC5557  214.607  36.4936
  UGC10097 238.93   47.8673
  NGC7386  342.509  11.6987
  NGC7436B 344.49   26.15  
  NGC7550  348.817  18.9614
  NGC7619  350.061  8.2063 
  NGC7626  350.1772 8.217  
  NGC7681  352.229  17.3096
  NGC0499  20.7978  33.4601
  NGC0777  30.0622  31.4294
  NGC1060  40.8127  32.425 
  NGC1671  72.3918  0.2528 
  NGC3158  153.46   38.7649
  NGC3334  160.38   37.3129
  NGC4360  186.09   9.2928 
  NGC4692  191.98   27.2224
  NGC5129  201.042  13.9765
  NGC5482  212.128  8.9319 
